acl 2.3.1-1
python-attrs 20.3.0-3
python-automat 20.2.0-5
python-beaker 1.11.0-6
python-booleanoperations 0.9.0-1
python-cachecontrol 0.12.6-3
python-cairo 1.20.0-3
python-catkin_pkg 0.4.23-1
python-cffi 1.14.5-1
python-chardet 3.0.4-7
python-click 7.1.2-3
python-colorama 0.4.4-3
python-configobj 5.0.6.r110.g3e2f4cc-1
python-constantly 15.1.0-8
python-contextlib2 0.6.0.post1-3
python-cryptography 3.4.6-1
python-dateutil 2.8.1-5
python-defcon 0.8.1-1
python-distlib 0.3.1-2
python-distro 1.5.0-3
python-docutils 0.16-4
python-empy 3.3.4-5
python-fontmath 0.6.0-1
python-fontparts 0.9.10-1
python-fontpens 0.2.4-1
python-fonttools 4.22.0-1
python-fs 2.4.13-1
python-geoip 1.3.2-10
python-gobject 3.40.0-1
python-html5lib 1.1-6
python-hyperlink 21.0.0-1
python-idna 2.10-3
python-importlib-metadata 3.7.3-1
python-incremental 17.5.0-6
python-iniconfig 1.1.1-1
python-mako 1.1.4-1
python-markupsafe 1.1.1-7
python-more-itertools 8.6.0-3
python-msgpack 1.0.2-2
python-nose 1.3.7-10
python-nototools 0.2.11-1
python-ordered-set 4.0.2-3
python-packaging 20.9-1
python-pep517 0.10.0-1
python-pillow 8.1.0-1
python-pip 20.3.1-1
python-pluggy 0.13.1-4
python-ply 3.11-7
python-progress 1.5-5
python-psutil 5.8.0-1
python-py 1.10.0-1
python-pyasn1 0.4.8-4
python-pyasn1-modules 0.2.8-3
python-pyclipper 1.2.1-1
python-pycparser 2.20-3
python-pyhamcrest 1.9.0-7
python-pyopenssl 20.0.1-1
python-pyparsing 2.4.7-3
python-pytest 6.2.3-1
python-pytest-runner 5.2-3
python-pytz 2021.1-1
python-pyxdg 0.27-1
python-rencode 1.0.6-5
python-requests 2.25.1-1
python-resolvelib 0.5.4-1
python-retrying 1.3.3-9
python-service-identity 18.1.0-6
python-setproctitle 1.2.2-1
python-setuptools 1:54.1.2-1
python-six 1.15.0-3
python-toml 0.10.2-3
python-twisted 20.3.0-3
python-unicodedata2 13.0.0.post2-2
python-urllib3 1.26.3-1
python-webencodings 0.5.1-6
python-yaml 5.4.1.1-1
python-zipp 3.4.1-1
python-zope-interface 5.2.0-3
python-zstandard 0.15.2-1
qalculate-gtk 3.17.0-1
qpdf 10.3.1-1
qt5-base 5.15.2-5
qt5-svg 5.15.2-1
qt5-x11extras 5.15.2-1
r 4.0.4-1
ranger 1.9.3-3
rav1e 0.4.0-1
rbenv 1.1.2-1
re2 1:20210202-1
readline 8.1.0-2
rest 0.8.1-3
rhash 1.4.1-1
rofi 1.6.1-1
ros-build-tools 0.3.2-2
ros-noetic-catkin 0.8.8-1
ros-noetic-cpp-common 0.7.1-2
ros-noetic-gencpp 0.6.5-1
ros-noetic-geneus 3.0.0-1
ros-noetic-genlisp 0.4.18-2
ros-noetic-genmsg 0.5.16-2
